Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	181.134105	95.051453	0.000000
CCGT_AMMONIA	0.000003	0.000002	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	162.539556	38.460194	0.000000
WIND_ONSHORE	458.522407	128.075292	0.000000
WIND_OFFSHORE	0.000786	0.000131	0.000000
HYDRO_RIVER	19.393260	5.801151	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	184.040011	245.110484	0.000000
IND_COGEN_WOOD	0.000004	0.000003	0.000000
IND_COGEN_WASTE	0.000018	0.000014	0.000000
IND_BOILER_GAS	7.730595	2.308946	0.000000
IND_BOILER_WOOD	0.000013	0.000004	0.000000
IND_BOILER_OIL	0.000015	0.000005	0.000000
IND_BOILER_COAL	29.485002	8.790851	0.000000
IND_BOILER_WASTE	16.527301	4.927557	0.000000
IND_DIRECT_ELEC	0.000007	0.000000	0.000000
DHN_HP_ELEC	132.412730	93.031032	0.000000
DHN_COGEN_GAS	6.424525	3.891968	0.000000
DHN_COGEN_WOOD	0.000004	0.000003	0.000000
DHN_COGEN_WASTE	0.000012	0.000009	0.000000
DHN_COGEN_WET_BIOMASS	64.835999	109.329566	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000020	0.000013	0.000000
DHN_BOILER_GAS	0.000005	0.000001	0.000000
DHN_BOILER_WOOD	0.000007	0.000002	0.000000
DHN_BOILER_OIL	0.000002	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000005	0.000000	0.000000
DEC_HP_ELEC	0.000147	0.000096	0.000000
DEC_THHP_GAS	431.843413	216.690260	0.000000
DEC_COGEN_GAS	0.000034	0.000037	0.000000
DEC_COGEN_OIL	0.000016	0.000017	0.000000
DEC_ADVCOGEN_GAS	0.000054	0.000017	0.000000
DEC_ADVCOGEN_H2	0.000028	0.000009	0.000000
DEC_BOILER_GAS	0.000030	0.000014	0.000000
DEC_BOILER_WOOD	0.000017	0.000009	0.000000
DEC_BOILER_OIL	0.000022	0.000019	0.000000
DEC_SOLAR	0.000030	0.000006	0.000000
DEC_DIRECT_ELEC	0.000046	0.000003	0.000000
TRAMWAY_TROLLEY	0.000022	0.000011	0.000000
BUS_COACH_DIESEL	0.000001	0.000001	0.000000
BUS_COACH_HYDIESEL	0.000001	0.000001	0.000000
BUS_COACH_CNG_STOICH	152.489634	104.328657	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000000	0.000000	0.000000
TRAIN_PUB	0.000002	0.000002	0.000000
CAR_GASOLINE	6608.195668	3600.000000	0.000000
CAR_DIESEL	0.000006	0.000003	0.000000
CAR_NG	0.000024	0.000013	0.000000
CAR_METHANOL	0.000049	0.000026	0.000000
CAR_HEV	0.000003	0.000002	0.000000
CAR_PHEV	0.001299	0.000876	0.000000
CAR_BEV	448.953465	78.184374	0.000000
CAR_FUEL_CELL	0.000003	0.000000	0.000000
TRAIN_FREIGHT	22.994249	13.757266	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000000
BOAT_FREIGHT_NG	0.000024	0.000036	0.000000
BOAT_FREIGHT_METHANOL	58.535169	90.578821	0.000000
TRUCK_DIESEL	1532.475674	1057.666667	0.000000
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	0.000001	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
HABER_BOSCH	60.852167	20.426183	0.000000
SYN_METHANOLATION	0.000003	0.000001	0.000000
METHANE_TO_METHANOL	0.000013	0.000012	0.000000
BIOMASS_TO_METHANOL	0.000008	0.000004	0.000000
OIL_TO_HVC	0.000014	0.000001	0.000000
GAS_TO_HVC	0.000014	0.000006	0.000000
