Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000003	0.000000	0.000756
CCGT_AMMONIA	0.000000	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	825.917991	0.000000	0.000000
WIND_ONSHORE	133.608580	0.000000	2.136217
WIND_OFFSHORE	118.263261	0.000000	3.020860
HYDRO_RIVER	3.051277	0.000000	0.009639
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	19.471566	0.000000	4190.282080
IND_COGEN_WOOD	0.000001	0.000000	0.000508
IND_COGEN_WASTE	0.000001	0.000000	0.000047
IND_BOILER_GAS	3.651528	0.000000	2093.611576
IND_BOILER_WOOD	0.000002	0.000000	0.000233
IND_BOILER_OIL	0.000000	0.000000	0.000053
IND_BOILER_COAL	15.458566	0.000000	8835.062929
IND_BOILER_WASTE	8.765348	0.000000	4896.346522
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	21.422517	0.000000	265.482007
DHN_COGEN_GAS	23.018615	0.000000	10066.541344
DHN_COGEN_WOOD	0.000000	0.000000	0.000065
DHN_COGEN_WASTE	0.000001	0.000000	0.000037
DHN_COGEN_WET_BIOMASS	0.000005	0.000000	0.000264
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000052
DHN_BOILER_GAS	0.000000	0.000000	0.000032
DHN_BOILER_WOOD	0.000001	0.000000	0.000049
DHN_BOILER_OIL	0.000000	0.000000	0.000023
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000006	0.000000	0.000000
DEC_HP_ELEC	121.586926	0.000000	1234.867143
DEC_THHP_GAS	24.722754	0.000000	820.986694
DEC_COGEN_GAS	0.000002	0.000000	0.000100
DEC_COGEN_OIL	0.000002	0.000000	0.000099
DEC_ADVCOGEN_GAS	0.000001	0.000000	0.000073
DEC_ADVCOGEN_H2	0.000001	0.000000	0.000000
DEC_BOILER_GAS	0.000001	0.000000	0.000031
DEC_BOILER_WOOD	0.000003	0.000000	0.000104
DEC_BOILER_OIL	0.000001	0.000000	0.000047
DEC_SOLAR	0.000065	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	6.777617	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000003
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000002
BUS_COACH_CNG_STOICH	246.864075	0.000000	3898.553633
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000000	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000	0.000000
CAR_GASOLINE	807.192494	0.000000	3184.409506
CAR_DIESEL	0.000000	0.000000	0.000001
CAR_NG	0.000000	0.000000	0.000001
CAR_METHANOL	0.000000	0.000000	0.000001
CAR_HEV	0.000000	0.000000	0.000001
CAR_PHEV	0.000083	0.000000	0.000041
CAR_BEV	2866.916748	0.000000	465.654649
CAR_FUEL_CELL	0.000000	0.000000	0.000003
TRAIN_FREIGHT	28.944183	0.000000	48.205783
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000001
BOAT_FREIGHT_NG	0.000000	0.000000	0.000002
BOAT_FREIGHT_METHANOL	19.784965	0.000000	857.363998
TRUCK_DIESEL	337.456016	0.000000	3930.810770
TRUCK_METHANOL	125.843727	0.000000	1726.248120
TRUCK_FUEL_CELL	0.000001	0.000000	0.000000
TRUCK_ELEC	0.000003	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000001
HABER_BOSCH	122.983795	0.000000	11.857786
SYN_METHANOLATION	0.000004	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000	0.000000
BIOMASS_TO_METHANOL	0.000003	0.000000	0.000034
OIL_TO_HVC	0.000007	0.000000	0.000051
GAS_TO_HVC	0.000005	0.000000	0.000051
METHANOL_TO_HVC	191.993092	0.000000	10185.911466
ADLIBIO_TO_HVC	7.459193	0.000000	724.916096
PHS	546.175487	0.000000	0.000000
BATT_LI	0.000006	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000068	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000003	0.000000	0.000000
TS_DEC_HP_ELEC	15.701630	0.000000	0.000000
TS_DEC_THHP_GAS	0.995612	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000003	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000003	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000003	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000003	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000003	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000003	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000003	0.000000	0.000000
TS_DHN_DAILY	0.000018	0.000000	0.000000
TS_DHN_SEASONAL	124.071429	0.000000	0.000000
TS_HIGH_TEMP	1.139824	0.000000	0.000000
GAS_STORAGE	800.324860	0.000000	0.000000
H2_STORAGE	0.000243	0.000000	0.000000
DIESEL_STORAGE	0.000266	0.000000	0.000000
GASOLINE_STORAGE	0.300959	0.000000	0.000000
LFO_STORAGE	0.000234	0.000000	0.000000
AMMONIA_STORAGE	0.002944	0.000000	0.000000
METHANOL_STORAGE	0.002793	0.000000	0.000000
CO2_STORAGE	0.000042	0.000000	0.000000
ADLIBIO_TO_FUEL	56.245737	0.000000	0.000000
AMMONIA_TO_H2	0.000001	0.000000	0.000000
ATM_CCS	0.000000	0.000000	-0.000018
BIO_HYDROLYSIS	13.334944	0.000000	10124.560183
BIOMETHANATION	0.000089	0.000000	0.004244
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000	0.000037
GRID	22.032099	0.000000	0.000000
H2_BIOMASS	0.000001	0.000000	0.000001
H2_ELECTROLYSIS	0.000001	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000	0.000004
REDIFUEL	0.000001	0.000000	0.000016
SMR	0.000000	0.000000	0.000096
SYN_METHANATION	0.000000	0.000000	0.000000
AMMONIA	0.000000	0.000025	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	0.000905	0.000000
BIODIESEL	0.000000	-0.000006	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	-0.000003	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	1005.522820	0.000000
DIESEL	0.000000	521.323758	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	1100.911964	0.000000
GAS	0.000000	5718.236119	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	-0.000000	0.000000
GASOLINE	0.000000	0.000005	0.000000
H2	0.000000	0.000000	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	1580.530116	0.000000
LFO	0.000000	0.000039	0.000000
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	4540.248481	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	-0.000002	0.000000
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
WET_BIOMASS	0.000000	-16198.328224	0.000000
WOOD	0.000000	-7496.776427	0.000000
WOOD_PRODUCTION	0.000000	-0.000040	0.000000
