Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000043	0.000023	0.000000
CCGT_AMMONIA	0.000012	0.000007	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1556.114540	368.207126	0.000000
WIND_ONSHORE	433.047557	120.960000	0.000000
WIND_OFFSHORE	1242.837330	207.666000	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	164.606185	219.228659	0.000000
IND_COGEN_WOOD	0.000016	0.000012	0.000000
IND_COGEN_WASTE	0.000012	0.000010	0.000000
IND_BOILER_GAS	29.166972	8.711620	0.000000
IND_BOILER_WOOD	0.000014	0.000004	0.000000
IND_BOILER_OIL	0.000012	0.000004	0.000000
IND_BOILER_COAL	19.719853	5.879499	0.000000
IND_BOILER_WASTE	18.981421	5.659334	0.000000
IND_DIRECT_ELEC	4.460346	0.269987	0.000000
DHN_HP_ELEC	87.739465	61.644465	0.000000
DHN_COGEN_GAS	169.397773	102.620707	0.000000
DHN_COGEN_WOOD	0.000009	0.000007	0.000000
DHN_COGEN_WASTE	0.000011	0.000008	0.000000
DHN_COGEN_WET_BIOMASS	0.000011	0.000019	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000013	0.000008	0.000000
DHN_BOILER_GAS	0.000002	0.000001	0.000000
DHN_BOILER_WOOD	0.000004	0.000001	0.000000
DHN_BOILER_OIL	0.000002	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000010	0.000000	0.000000
DEC_HP_ELEC	531.417244	347.261593	0.000000
DEC_THHP_GAS	46.555062	23.361036	0.000000
DEC_COGEN_GAS	0.000032	0.000035	0.000000
DEC_COGEN_OIL	0.000032	0.000034	0.000000
DEC_ADVCOGEN_GAS	0.000046	0.000015	0.000000
DEC_ADVCOGEN_H2	0.000031	0.000010	0.000000
DEC_BOILER_GAS	0.000019	0.000008	0.000000
DEC_BOILER_WOOD	0.000018	0.000010	0.000000
DEC_BOILER_OIL	0.000015	0.000013	0.000000
DEC_SOLAR	0.000210	0.000040	0.000000
DEC_DIRECT_ELEC	0.000024	0.000001	0.000000
TRAMWAY_TROLLEY	196.746599	94.500689	0.000000
BUS_COACH_DIESEL	0.000002	0.000002	0.000000
BUS_COACH_HYDIESEL	0.000003	0.000002	0.000000
BUS_COACH_CNG_STOICH	932.220584	621.942954	0.000000
BUS_COACH_FC_HYBRIDH2	0.000004	0.000002	0.000000
BUS_COACH_ELECTRIC	0.000006	0.000004	0.000000
TRAIN_PUB	0.000029	0.000031	0.000000
CAR_GASOLINE	2278.690031	1200.000000	0.000000
CAR_DIESEL	0.000003	0.000001	0.000000
CAR_NG	0.000004	0.000002	0.000000
CAR_METHANOL	0.000003	0.000002	0.000000
CAR_HEV	0.000002	0.000002	0.000000
CAR_PHEV	0.001133	0.000779	0.000000
CAR_BEV	5551.089828	1180.028464	0.000000
CAR_FUEL_CELL	0.000002	0.000000	0.000000
TRAIN_FREIGHT	24.636892	14.740046	0.000000
BOAT_FREIGHT_DIESEL	0.000065	0.000097	0.000000
BOAT_FREIGHT_NG	0.000007	0.000011	0.000000
BOAT_FREIGHT_METHANOL	64.882576	97.049444	0.000000
TRUCK_DIESEL	945.628394	630.888889	0.000000
TRUCK_METHANOL	361.373077	241.094981	0.000000
