Name	Crit_2_tech	Crit_2_res	Crit_2_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000087	0.000000	-0.000200
CCGT_AMMONIA	0.000031	0.000000	0.000001
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	8908.742949	0.000000	0.000000
WIND_ONSHORE	3347.582877	0.000000	84.855455
WIND_OFFSHORE	1078.850443	0.000000	119.984180
HYDRO_RIVER	36.234858	0.000000	-7.562057
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	244.784643	0.000000	386.639667
IND_COGEN_WOOD	0.000034	0.000000	0.000005
IND_COGEN_WASTE	0.000025	0.000000	0.000007
IND_BOILER_GAS	25.395062	0.000000	0.000000
IND_BOILER_WOOD	0.000140	0.000000	0.000001
IND_BOILER_OIL	0.000011	0.000000	0.000000
IND_BOILER_COAL	480.345395	0.000000	240.185532
IND_BOILER_WASTE	204.027667	0.000000	171.066855
IND_DIRECT_ELEC	0.133821	0.000000	0.000000
DHN_HP_ELEC	126.586945	0.000000	7.382921
DHN_COGEN_GAS	262.434598	0.000000	412.711570
DHN_COGEN_WOOD	0.000011	0.000000	0.000002
DHN_COGEN_WASTE	0.000022	0.000000	0.000005
DHN_COGEN_WET_BIOMASS	0.000803	0.000000	0.000304
DHN_COGEN_BIO_HYDROLYSIS	0.000035	0.000000	0.000181
DHN_BOILER_GAS	0.000002	0.000000	0.000000
DHN_BOILER_WOOD	0.000039	0.000000	0.000000
DHN_BOILER_OIL	0.000002	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000511	0.000000	0.000000
DEC_HP_ELEC	564.380382	0.000000	23.783972
DEC_THHP_GAS	342.900280	0.000000	0.000000
DEC_COGEN_GAS	0.000073	0.000000	0.000025
DEC_COGEN_OIL	0.000080	0.000000	0.000007
DEC_ADVCOGEN_GAS	0.000112	0.000000	0.000076
