Name	Crit_3_tech	Crit_3_res	Crit_3_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000002	0.000000	0.000003
CCGT_AMMONIA	0.000001	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1011.992382	0.000000	0.000000
WIND_ONSHORE	99.655601	0.000000	3.701971
WIND_OFFSHORE	94.362623	0.000000	5.224828
HYDRO_RIVER	1.293595	0.000000	0.016666
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	24.772319	0.000000	32.573369
IND_COGEN_WOOD	0.000006	0.000000	0.000093
IND_COGEN_WASTE	0.000001	0.000000	0.000008
IND_BOILER_GAS	1.457977	0.000000	0.000000
IND_BOILER_WOOD	0.000006	0.000000	0.000069
IND_BOILER_OIL	0.000000	0.000000	0.000000
IND_BOILER_COAL	4.413490	0.000000	4.338657
IND_BOILER_WASTE	7.513987	0.000000	331.095548
IND_DIRECT_ELEC	0.007993	0.000000	0.000000
DHN_HP_ELEC	7.932320	0.000000	1.919198
DHN_COGEN_GAS	3.871427	0.000000	7.893122
DHN_COGEN_WOOD	0.000000	0.000000	0.000007
DHN_COGEN_WASTE	0.000001	0.000000	0.000007
DHN_COGEN_WET_BIOMASS	0.000008	0.000000	0.000008
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000009
DHN_BOILER_GAS	0.000000	0.000000	0.000000
DHN_BOILER_WOOD	0.000001	0.000000	0.000005
DHN_BOILER_OIL	0.000000	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000012	0.000000	0.000000
DEC_HP_ELEC	27.760381	0.000000	4.425766
DEC_THHP_GAS	25.719376	0.000000	0.000000
DEC_COGEN_GAS	0.000003	0.000000	0.000001
DEC_COGEN_OIL	0.000003	0.000000	0.000003
DEC_ADVCOGEN_GAS	0.000004	0.000000	0.000002
DEC_ADVCOGEN_H2	0.000003	0.000000	0.000001
DEC_BOILER_GAS	0.000002	0.000000	0.000000
DEC_BOILER_WOOD	0.000003	0.000000	0.000011
DEC_BOILER_OIL	0.000002	0.000000	0.000000
DEC_SOLAR	0.000137	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	4.234415	0.000000	0.000000
BUS_COACH_DIESEL	0.000001	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000001	0.000000	0.000000
BUS_COACH_CNG_STOICH	319.313745	0.000000	0.910242
BUS_COACH_FC_HYBRIDH2	0.000001	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000003	0.000000	0.000000
TRAIN_PUB	0.000003	0.000000	0.000000
CAR_GASOLINE	480.602843	0.000000	79.131069
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000001	0.000000	0.000000
CAR_METHANOL	0.000001	0.000000	0.000000
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000221	0.000000	0.000014
CAR_BEV	3132.640672	0.000000	214.286497
CAR_FUEL_CELL	0.000000	0.000000	0.000000
TRAIN_FREIGHT	11.141636	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000001	0.000000	0.000000
BOAT_FREIGHT_NG	0.000002	0.000000	0.000000
BOAT_FREIGHT_METHANOL	9.895739	0.000000	0.173553
TRUCK_DIESEL	232.909987	0.000000	0.078870
TRUCK_METHANOL	86.712706	0.000000	0.030140
TRUCK_FUEL_CELL	0.000006	0.000000	0.000000
TRUCK_ELEC	0.000062	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
HABER_BOSCH	81.447929	0.000000	3957.864308
SYN_METHANOLATION	0.000009	0.000000	0.000007
METHANE_TO_METHANOL	0.000000	0.000000	0.000007
BIOMASS_TO_METHANOL	0.000007	0.000000	0.000010
OIL_TO_HVC	0.000017	0.000000	0.000000
GAS_TO_HVC	0.000008	0.000000	0.000000
METHANOL_TO_HVC	150.404933	0.000000	0.000000
ADLIBIO_TO_HVC	0.000006	0.000000	0.000002
PHS	217.106678	0.000000	0.000000
BATT_LI	0.000073	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000990	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000010	0.000000	0.000000
TS_DEC_HP_ELEC	12.631978	0.000000	0.000000
TS_DEC_THHP_GAS	1.367078	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000010	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000010	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000010	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000010	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000010	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000010	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000010	0.000000	0.000000
TS_DHN_DAILY	0.000076	0.000000	0.000000
TS_DHN_SEASONAL	160.634794	0.000000	0.000000
TS_HIGH_TEMP	0.702010	0.000000	0.000000
GAS_STORAGE	264.830084	0.000000	0.000000
H2_STORAGE	0.000245	0.000000	0.000000
DIESEL_STORAGE	0.001412	0.000000	0.000000
GASOLINE_STORAGE	0.001475	0.000000	0.000000
LFO_STORAGE	0.003936	0.000000	0.000000
AMMONIA_STORAGE	0.004068	0.000000	0.000000
METHANOL_STORAGE	0.005425	0.000000	0.000000
CO2_STORAGE	0.000072	0.000000	0.000000
ADLIBIO_TO_FUEL	0.000010	0.000000	0.000004
AMMONIA_TO_H2	0.000002	0.000000	0.000000
ATM_CCS	0.000001	0.000000	0.000000
BIO_HYDROLYSIS	4.919216	0.000000	678.739849
BIOMETHANATION	2.019495	0.000000	1.974486
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000	0.000007
GRID	26.501834	0.000000	0.000000
H2_BIOMASS	1.828140	0.000000	23.448255
H2_ELECTROLYSIS	0.000007	0.000000	0.000001
INDUSTRY_CCS	0.000000	0.000000	0.000001
REDIFUEL	0.000001	0.000000	0.000008
SMR	0.000000	0.000000	0.000037
SYN_METHANATION	0.000000	0.000000	0.000000
AMMONIA	0.000000	0.000060	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	870.424636	0.000000
BIODIESEL	0.000000	0.000188	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000332	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	159.353523	0.000000
DIESEL	0.000000	123.272514	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	2060.909091	0.000000
GAS	0.000000	713.514002	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	0.000000	0.000000
GASOLINE	0.000000	107.750270	0.000000
H2	0.000000	0.000000	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.000442	0.000000
LFO	0.000000	0.000032	0.000000
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	1886.235813	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	0.000059	0.000000
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
WET_BIOMASS	0.000000	1627.594205	0.000000
WOOD	0.000000	1310.769986	0.000000
