Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000144	0.000076	0.000000
CCGT_AMMONIA	0.000035	0.000018	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1578.732777	373.559043	0.000000
WIND_ONSHORE	433.047553	120.959999	0.000000
WIND_OFFSHORE	1242.837330	207.666000	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	175.250079	233.404594	0.000000
IND_COGEN_WOOD	0.000101	0.000076	0.000000
IND_COGEN_WASTE	0.000045	0.000034	0.000000
IND_BOILER_GAS	29.395134	8.779768	0.000000
IND_BOILER_WOOD	0.000048	0.000014	0.000000
IND_BOILER_OIL	0.000043	0.000014	0.000000
IND_BOILER_COAL	22.060619	6.577401	0.000000
IND_BOILER_WASTE	18.487562	5.512089	0.000000
IND_DIRECT_ELEC	15.768943	0.954501	0.000000
DHN_HP_ELEC	89.238547	62.697698	0.000000
DHN_COGEN_GAS	163.659598	99.144535	0.000000
DHN_COGEN_WOOD	0.000037	0.000028	0.000000
DHN_COGEN_WASTE	0.000040	0.000030	0.000000
DHN_COGEN_WET_BIOMASS	0.000033	0.000056	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000037	0.000024	0.000000
DHN_BOILER_GAS	0.000009	0.000003	0.000000
DHN_BOILER_WOOD	0.000015	0.000004	0.000000
DHN_BOILER_OIL	0.000008	0.000003	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000020	0.000001	0.000000
DEC_HP_ELEC	538.125419	351.645137	0.000000
DEC_THHP_GAS	42.626262	21.389589	0.000000
DEC_COGEN_GAS	0.000101	0.000112	0.000000
DEC_COGEN_OIL	0.000087	0.000091	0.000000
DEC_ADVCOGEN_GAS	0.000119	0.000038	0.000000
DEC_ADVCOGEN_H2	0.000070	0.000022	0.000000
DEC_BOILER_GAS	0.000070	0.000032	0.000000
DEC_BOILER_WOOD	0.000071	0.000037	0.000000
DEC_BOILER_OIL	0.000054	0.000048	0.000000
DEC_SOLAR	0.000454	0.000086	0.000000
DEC_DIRECT_ELEC	0.000102	0.000006	0.000000
TRAMWAY_TROLLEY	196.746601	94.500690	0.000000
BUS_COACH_DIESEL	0.000017	0.000011	0.000000
BUS_COACH_HYDIESEL	0.000014	0.000008	0.000000
BUS_COACH_CNG_STOICH	932.219274	621.942080	0.000000
BUS_COACH_FC_HYBRIDH2	0.000009	0.000005	0.000000
BUS_COACH_ELECTRIC	0.000013	0.000007	0.000000
TRAIN_PUB	0.001554	0.001677	0.000000
CAR_GASOLINE	2278.690031	1200.000000	0.000000
CAR_DIESEL	0.000008	0.000004	0.000000
CAR_NG	0.000012	0.000006	0.000000
CAR_METHANOL	0.000011	0.000006	0.000000
CAR_HEV	0.000007	0.000005	0.000000
CAR_PHEV	0.003177	0.002183	0.000000
CAR_BEV	5551.088578	1180.028198	0.000000
CAR_FUEL_CELL	0.000003	0.000000	0.000000
TRAIN_FREIGHT	24.636892	14.740046	0.000000
BOAT_FREIGHT_DIESEL	0.000012	0.000018	0.000000
BOAT_FREIGHT_NG	0.000041	0.000061	0.000000
BOAT_FREIGHT_METHANOL	64.882599	97.049478	0.000000
TRUCK_DIESEL	945.628395	630.888890	0.000000
