TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.001332	0.000034	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.008529	0.961540	0.048263	0.000317
CCGT_AMMONIA	0.000374	0.000009	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000200	0.630000	0.048263	0.000089
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	32208.858010	367.827634	25.000000	0.000000	37.021676	59.200000	0.000000	0.489888	1.000000	0.116196	1.000000	0.048263	77058.026812
WIND_ONSHORE	10399.999899	120.959999	30.000000	0.000000	10.000000	10.000000	0.000000	0.254802	1.000000	0.223744	1.000000	0.041639	6228.499940
WIND_OFFSHORE	29847.779997	207.666000	30.000000	0.000000	6.000000	6.000000	0.000000	0.249253	1.000000	0.364787	1.000000	0.041639	3737.100000
HYDRO_RIVER	580.165797	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.006057	1.000000	0.462515	1.000000	0.033427	145.224299
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	4040.606535	259.726425	25.000000	0.000000	2.869688	Infinity	0.000000	0.327884	1.000000	0.850000	0.850000	0.048263	2939.478624
IND_COGEN_WOOD	0.001530	0.000056	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.008657	0.850000	0.048263	0.000234
IND_COGEN_WASTE	0.000470	0.000017	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000351	0.850000	0.048263	0.000104
IND_BOILER_GAS	453.744536	9.090961	17.000000	0.000000	7.704951	Infinity	0.000000	0.170546	1.000000	0.164666	0.950000	0.067080	94.924990
IND_BOILER_WOOD	0.000439	0.000009	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.007991	0.900000	0.067080	0.000110
IND_BOILER_OIL	0.000294	0.000006	17.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.001728	0.950000	0.067080	0.000066
IND_BOILER_COAL	294.583710	5.891640	17.000000	0.000000	2.557594	Infinity	0.000000	0.276814	1.000000	0.805173	0.900000	0.067080	123.224893
IND_BOILER_WASTE	278.463618	5.569240	17.000000	0.000000	2.417639	Infinity	0.000000	0.223975	1.000000	0.689196	0.900000	0.067080	69.797228
IND_DIRECT_ELEC	22.483431	0.101994	15.000000	0.000000	0.067652	Infinity	0.000000	0.000781	1.000000	0.085848	0.950000	0.074944	0.099448
DHN_HP_ELEC	1907.726304	64.689467	25.000000	0.000000	5.533491	Infinity	0.000000	0.635859	1.000000	0.614017	0.950000	0.048263	967.198865
DHN_COGEN_GAS	3152.412039	92.169807	25.000000	0.000000	2.512903	Infinity	0.000000	0.364141	1.000000	0.774305	0.850000	0.048263	1233.533963
DHN_COGEN_WOOD	0.000412	0.000015	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001092	0.850000	0.048263	0.000063
DHN_COGEN_WASTE	0.000414	0.000015	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000280	0.850000	0.048263	0.000092
DHN_COGEN_WET_BIOMASS	0.000393	0.000032	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001139	0.750000	0.048263	0.000292
DHN_COGEN_BIO_HYDROLYSIS	0.000324	0.000016	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000184	0.850000	0.074944	0.000046
DHN_BOILER_GAS	0.000068	0.000001	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001140	0.950000	0.067080	0.000014
DHN_BOILER_WOOD	0.000120	0.000002	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001199	0.900000	0.067080	0.000030
DHN_BOILER_OIL	0.000059	0.000001	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000822	0.950000	0.067080	0.000013
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000422	0.000000	30.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000618	1.000000	0.041639	0.000258
DEC_HP_ELEC	8274.525043	345.004070	18.000000	0.000000	16.816773	Infinity	0.000000	0.864513	1.000000	0.449371	1.000000	0.063806	2772.917719
DEC_THHP_GAS	834.024142	24.376310	20.000000	0.000000	2.641992	Infinity	0.000000	0.135486	1.000000	0.448271	1.000000	0.058246	1009.056134
DEC_COGEN_GAS	0.001002	0.000064	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002716	1.000000	0.058246	0.000729
DEC_COGEN_OIL	0.000791	0.000049	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001880	1.000000	0.058246	0.000621
DEC_ADVCOGEN_GAS	0.001496	0.000028	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000858	1.000000	0.058246	0.000453
DEC_ADVCOGEN_H2	0.001035	0.000019	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000367	1.000000	0.058246	0.000313
DEC_BOILER_GAS	0.000512	0.000015	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.001624	1.000000	0.067080	0.000068
DEC_BOILER_WOOD	0.000626	0.000022	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002376	1.000000	0.067080	0.000029
DEC_BOILER_OIL	0.000392	0.000024	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.001578	1.000000	0.067080	0.000058
DEC_SOLAR	0.005044	0.000056	20.000000	0.000000	0.000007	Infinity	0.000000	0.000000	1.000000	0.003445	1.000000	0.058246	0.001552
DEC_DIRECT_ELEC	0.000576	0.000003	15.000000	0.000000	0.000014	Infinity	0.000000	0.000000	1.000000	0.000670	1.000000	0.074944	0.000021
TRAMWAY_TROLLEY	4725.034466	94.500689	30.000000	0.000000	7.560055	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000098	0.000005	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000470	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000157	0.000006	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000557	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	12438.836357	621.942949	15.000000	0.000000	20.354497	Infinity	0.000000	0.700000	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000117	0.000005	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000428	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	0.000185	0.000008	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000764	0.296800	0.074944	0.000000
TRAIN_PUB	0.000506	0.000018	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.500000	0.000924	0.275070	0.033427	0.000000
CAR_GASOLINE	21014.500003	1200.000000	10.000000	50.000000	50.000000	Infinity	0.000000	0.297614	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_DIESEL	0.000045	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000053	0.051370	0.108434	0.000000
CAR_NG	0.000066	0.000004	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000080	0.051370	0.108434	0.000000
CAR_METHANOL	0.000059	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000073	0.051370	0.108434	0.000000
CAR_HEV	0.000035	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000043	0.051370	0.108434	0.000000
CAR_PHEV	0.015927	0.001187	10.000000	0.000000	0.000035	Infinity	0.000000	0.000000	1.000000	0.010622	0.051370	0.108434	0.000000
CAR_BEV	51193.172032	1180.028399	10.000000	0.000000	118.002840	Infinity	0.000000	0.702386	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000016	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.051370	0.108434	0.000000
