Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000014	0.000000	0.004101
CCGT_AMMONIA	0.000005	0.000000	0.000001
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	822.424048	0.000000	0.000000
WIND_ONSHORE	133.608580	0.000000	2.137918
WIND_OFFSHORE	118.263261	0.000000	3.023107
HYDRO_RIVER	3.051277	0.000000	0.009656
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	39.404524	0.000000	8479.855451
IND_COGEN_WOOD	0.000015	0.000000	0.007092
IND_COGEN_WASTE	0.000006	0.000000	0.000593
IND_BOILER_GAS	4.004246	0.000000	2256.300989
IND_BOILER_WOOD	0.000019	0.000000	0.004845
IND_BOILER_OIL	0.000004	0.000000	0.000734
IND_BOILER_COAL	12.860691	0.000000	7326.389767
IND_BOILER_WASTE	9.329031	0.000000	4896.345718
IND_DIRECT_ELEC	0.004599	0.000000	0.000000
DHN_HP_ELEC	27.222713	0.000000	394.154595
DHN_COGEN_GAS	16.026375	0.000000	6764.526516
DHN_COGEN_WOOD	0.000002	0.000000	0.000977
DHN_COGEN_WASTE	0.000006	0.000000	0.000477
DHN_COGEN_WET_BIOMASS	0.000074	0.000000	0.004293
DHN_COGEN_BIO_HYDROLYSIS	0.000002	0.000000	0.000702
DHN_BOILER_GAS	0.000001	0.000000	0.000259
DHN_BOILER_WOOD	0.000005	0.000000	0.000682
DHN_BOILER_OIL	0.000001	0.000000	0.000306
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000099	0.000000	0.000000
DEC_HP_ELEC	114.905772	0.000000	1167.709349
DEC_THHP_GAS	39.249204	0.000000	1302.856587
DEC_COGEN_GAS	0.000028	0.000000	0.001324
DEC_COGEN_OIL	0.000024	0.000000	0.001333
DEC_ADVCOGEN_GAS	0.000017	0.000000	0.000856
DEC_ADVCOGEN_H2	0.000013	0.000000	0.000002
DEC_BOILER_GAS	0.000008	0.000000	0.000418
DEC_BOILER_WOOD	0.000024	0.000000	0.001448
DEC_BOILER_OIL	0.000007	0.000000	0.000641
DEC_SOLAR	0.000923	0.000000	0.000000
DEC_DIRECT_ELEC	0.000001	0.000000	0.000000
TRAMWAY_TROLLEY	6.777617	0.000000	0.000000
BUS_COACH_DIESEL	0.000003	0.000000	0.000044
BUS_COACH_HYDIESEL	0.000002	0.000000	0.000026
BUS_COACH_CNG_STOICH	246.864022	0.000000	3898.552799
BUS_COACH_FC_HYBRIDH2	0.000003	0.000000	0.000001
BUS_COACH_ELECTRIC	0.000006	0.000000	0.000003
TRAIN_PUB	0.000005	0.000000	0.000001
CAR_GASOLINE	807.192494	0.000000	3184.409508
CAR_DIESEL	0.000003	0.000000	0.000010
CAR_NG	0.000004	0.000000	0.000011
CAR_METHANOL	0.000004	0.000000	0.000013
CAR_HEV	0.000002	0.000000	0.000006
CAR_PHEV	0.000976	0.000000	0.000513
CAR_BEV	2866.916037	0.000000	465.654533
CAR_FUEL_CELL	0.000002	0.000000	0.000023
TRAIN_FREIGHT	28.944183	0.000000	48.205783
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000006
BOAT_FREIGHT_NG	0.000003	0.000000	0.000147
BOAT_FREIGHT_METHANOL	19.784961	0.000000	857.363853
TRUCK_DIESEL	337.456016	0.000000	3930.810717
TRUCK_METHANOL	125.843451	0.000000	1726.244340
TRUCK_FUEL_CELL	0.000003	0.000000	0.000000
TRUCK_ELEC	0.000040	0.000000	0.000001
TRUCK_NG	0.000010	0.000000	0.000119
HABER_BOSCH	0.000214	0.000000	0.000014
SYN_METHANOLATION	0.000046	0.000000	0.000004
METHANE_TO_METHANOL	0.000002	0.000000	0.000005
BIOMASS_TO_METHANOL	0.000038	0.000000	0.000467
OIL_TO_HVC	0.000156	0.000000	0.001648
GAS_TO_HVC	0.000118	0.000000	0.001109
