Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000148	0.000078	0.000000
CCGT_AMMONIA	0.000017	0.000009	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1567.577370	370.919456	0.000000
WIND_ONSHORE	433.047558	120.960000	0.000000
WIND_OFFSHORE	1242.837330	207.666000	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	111.272492	148.196857	0.000000
IND_COGEN_WOOD	0.000047	0.000036	0.000000
IND_COGEN_WASTE	0.000018	0.000014	0.000000
IND_BOILER_GAS	27.478239	8.207228	0.000000
IND_BOILER_WOOD	0.000022	0.000007	0.000000
IND_BOILER_OIL	0.000018	0.000006	0.000000
IND_BOILER_COAL	25.222572	7.520141	0.000000
IND_BOILER_WASTE	17.823236	5.314020	0.000000
IND_DIRECT_ELEC	25.945600	1.570498	0.000000
DHN_HP_ELEC	79.110411	55.581818	0.000000
DHN_COGEN_GAS	203.887748	123.514639	0.000000
DHN_COGEN_WOOD	0.000015	0.000012	0.000000
DHN_COGEN_WASTE	0.000016	0.000012	0.000000
DHN_COGEN_WET_BIOMASS	0.000015	0.000025	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000019	0.000012	0.000000
DHN_BOILER_GAS	0.000004	0.000001	0.000000
DHN_BOILER_WOOD	0.000007	0.000002	0.000000
DHN_BOILER_OIL	0.000004	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000011	0.000000	0.000000
DEC_HP_ELEC	552.807970	361.239643	0.000000
DEC_THHP_GAS	34.027211	17.074640	0.000000
DEC_COGEN_GAS	0.000047	0.000052	0.000000
DEC_COGEN_OIL	0.000040	0.000043	0.000000
DEC_ADVCOGEN_GAS	0.000060	0.000019	0.000000
DEC_ADVCOGEN_H2	0.000051	0.000016	0.000000
DEC_BOILER_GAS	0.000032	0.000014	0.000000
DEC_BOILER_WOOD	0.000033	0.000017	0.000000
DEC_BOILER_OIL	0.000024	0.000022	0.000000
DEC_SOLAR	0.000236	0.000045	0.000000
DEC_DIRECT_ELEC	0.000040	0.000002	0.000000
TRAMWAY_TROLLEY	196.746599	94.500689	0.000000
BUS_COACH_DIESEL	0.000004	0.000003	0.000000
BUS_COACH_HYDIESEL	0.000005	0.000003	0.000000
BUS_COACH_CNG_STOICH	932.220583	621.942954	0.000000
BUS_COACH_FC_HYBRIDH2	0.000005	0.000003	0.000000
BUS_COACH_ELECTRIC	0.000019	0.000011	0.000000
TRAIN_PUB	0.000012	0.000013	0.000000
CAR_GASOLINE	2278.690031	1200.000000	0.000000
CAR_DIESEL	0.000004	0.000002	0.000000
CAR_NG	0.000006	0.000003	0.000000
CAR_METHANOL	0.000005	0.000003	0.000000
CAR_HEV	0.000004	0.000003	0.000000
CAR_PHEV	0.001729	0.001188	0.000000
CAR_BEV	5551.089471	1180.028388	0.000000
CAR_FUEL_CELL	0.000002	0.000000	0.000000
TRAIN_FREIGHT	24.636892	14.740046	0.000000
BOAT_FREIGHT_DIESEL	0.000018	0.000026	0.000000
BOAT_FREIGHT_NG	0.000001	0.000001	0.000000
BOAT_FREIGHT_METHANOL	64.882630	97.049524	0.000000
TRUCK_DIESEL	945.628395	630.888889	0.000000
TRUCK_METHANOL	361.373092	241.094990	0.000000
TRUCK_FUEL_CELL	0.000024	0.000008	0.000000
TRUCK_ELEC	0.000053	0.000037	0.000000
TRUCK_NG	0.000001	0.000001	0.000000
HABER_BOSCH	0.000049	0.000016	0.000000
SYN_METHANOLATION	0.000026	0.000012	0.000000
METHANE_TO_METHANOL	0.000019	0.000017	0.000000
BIOMASS_TO_METHANOL	0.000029	0.000008	0.000000
OIL_TO_HVC	0.000030	0.000003	0.000000
GAS_TO_HVC	0.000026	0.000011	0.000000
METHANOL_TO_HVC	191.811543	296.382879	0.000000
ADLIBIO_TO_HVC	0.000040	0.000015	0.000000
PHS	8.400076	0.000000	0.000000
BATT_LI	0.000176	0.000004	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000086	0.000010	0.000000
TS_DEC_HP_ELEC	59.481338	7.149179	0.000000
TS_DEC_THHP_GAS	3.270944	0.393141	0.000000
TS_DEC_COGEN_GAS	0.000086	0.000010	0.000000
TS_DEC_COGEN_OIL	0.000088	0.000011	0.000000
TS_DEC_ADVCOGEN_GAS	0.000086	0.000010	0.000000
TS_DEC_ADVCOGEN_H2	0.000086	0.000010	0.000000
TS_DEC_BOILER_GAS	0.000086	0.000010	0.000000
TS_DEC_BOILER_WOOD	0.000086	0.000010	0.000000
TS_DEC_BOILER_OIL	0.000086	0.000010	0.000000
TS_DHN_DAILY	0.000084	0.000007	0.000000
TS_DHN_SEASONAL	13.800967	1.566551	0.000000
TS_HIGH_TEMP	2.129645	0.472266	0.000000
GAS_STORAGE	1.850502	1.695812	0.000000
H2_STORAGE	0.699137	0.756262	0.000000
DIESEL_STORAGE	0.002209	0.001506	0.000000
GASOLINE_STORAGE	0.158766	0.108214	0.000000
LFO_STORAGE	0.002480	0.001690	0.000000
AMMONIA_STORAGE	0.000004	0.000002	0.000000
METHANOL_STORAGE	0.000000	0.000000	0.000000
CO2_STORAGE	0.001209	0.000290	0.000000
ADLIBIO_TO_FUEL	54.381777	17.048305	0.000000
AMMONIA_TO_H2	0.000010	0.000020	0.000000
ATM_CCS	0.000018	0.000013	0.000000
BIO_HYDROLYSIS	263.646116	239.852114	0.000000
BIOMETHANATION	0.000882	0.000210	0.000000
DHN	170.332238	0.000000	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
GASIFICATION_SNG	0.000016	0.000023	0.000000
GRID	2037.068313	0.000000	0.000000
H2_BIOMASS	32.925598	48.060585	0.000000
H2_ELECTROLYSIS	0.000069	0.000025	0.000000
INDUSTRY_CCS	0.000016	0.000012	0.000000
REDIFUEL	0.000022	0.000010	0.000000
SMR	0.084826	0.162190	0.000000
SYN_METHANATION	0.000003	0.000025	0.000000
AMMONIA	0.000000	0.000000	0.000035
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	0.000000	1118.735942
BIODIESEL	0.000000	0.000000	0.000036
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000000	0.000022
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	445.975078
DIESEL	0.000000	0.000000	897.338471
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	0.000000	1756.919881
GAS	0.000000	0.000000	4374.427093
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	0.000000	0.000000
GASOLINE	0.000000	0.000000	0.000069
H2	0.000000	0.000000	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.000000	483.032608
LFO	0.000000	0.000000	0.000403
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	0.000000	2115.846295
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	0.000000	0.000048
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	377.143396
WET_BIOMASS	0.000000	0.000000	205.595175
WOOD	0.000000	0.000000	767.520000
WOOD_PRODUCTION	0.000000	0.000000	0.000259
