TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.001648	0.000042	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.006324	0.961540	0.048263	0.000403
CCGT_AMMONIA	510.171921	12.921067	25.000000	0.000000	0.679441	Infinity	0.000000	0.030787	1.000000	0.524847	0.630000	0.048263	124.874475
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	37809.857422	431.792181	25.000000	0.000000	59.174986	59.200000	0.000000	0.583919	1.000000	0.114296	1.000000	0.048263	123168.591493
WIND_ONSHORE	9788.199946	113.844999	30.000000	0.000000	10.000000	10.000000	0.000000	0.191723	1.000000	0.222071	1.000000	0.041639	6228.499966
WIND_OFFSHORE	27919.199949	194.247600	30.000000	0.000000	6.000000	6.000000	0.000000	0.188833	1.000000	0.364538	1.000000	0.041639	3737.099993
HYDRO_RIVER	580.165800	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.004738	1.000000	0.477210	1.000000	0.033427	145.224300
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	3902.439598	250.844217	25.000000	0.000000	2.979416	Infinity	0.000000	0.488192	1.000000	0.776055	0.850000	0.048263	3051.875805
IND_COGEN_WOOD	0.000067	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.002422	0.850000	0.048263	0.000011
IND_COGEN_WASTE	0.000471	0.000017	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000240	0.850000	0.048263	0.000115
IND_BOILER_GAS	208.233018	4.172051	17.000000	0.000000	3.535966	Infinity	0.000000	0.130282	1.000000	0.174506	0.950000	0.067080	43.563097
IND_BOILER_WOOD	0.000443	0.000009	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.001916	0.900000	0.067080	0.000111
IND_BOILER_OIL	0.000557	0.000012	17.000000	0.000000	0.000010	Infinity	0.000000	0.000000	1.000000	0.003402	0.950000	0.067080	0.000125
IND_BOILER_COAL	0.000002	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000001
IND_BOILER_WASTE	311.113215	6.222237	17.000000	0.000000	2.701104	Infinity	0.000000	0.225669	1.000000	0.395698	0.900000	0.067080	77.980887
IND_DIRECT_ELEC	1986.542033	9.011766	15.000000	0.000000	5.977439	Infinity	0.000000	0.155857	1.000000	0.123493	0.950000	0.074944	8.786835
DHN_HP_ELEC	2489.597112	84.419733	25.000000	0.000000	7.834342	Infinity	0.000000	0.999999	1.000000	0.643414	0.950000	0.048263	1369.364590
DHN_COGEN_GAS	0.008397	0.000245	25.000000	0.000000	0.000007	Infinity	0.000000	0.000001	1.000000	0.040970	0.850000	0.048263	0.003532
DHN_COGEN_WOOD	0.000010	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000525	0.850000	0.048263	0.000002
DHN_COGEN_WASTE	0.000281	0.000010	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000220	0.850000	0.048263	0.000069
DHN_COGEN_WET_BIOMASS	0.000254	0.000021	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000432	0.750000	0.048263	0.000204
DHN_COGEN_BIO_HYDROLYSIS	0.000005	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000096	0.850000	0.074944	0.000001
DHN_BOILER_GAS	0.000202	0.000004	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.001372	0.950000	0.067080	0.000042
DHN_BOILER_WOOD	0.000143	0.000003	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000576	0.900000	0.067080	0.000036
DHN_BOILER_OIL	0.000059	0.000001	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000478	0.950000	0.067080	0.000013
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000010	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000317	1.000000	0.041639	0.000007
DEC_HP_ELEC	7902.614620	329.498935	18.000000	0.000000	17.424679	Infinity	0.000000	0.901067	1.000000	0.450553	1.000000	0.063806	2873.155303
DEC_THHP_GAS	0.001991	0.000058	20.000000	0.000000	0.000007	Infinity	0.000000	0.000000	1.000000	0.025978	1.000000	0.058246	0.002613
DEC_COGEN_GAS	0.000637	0.000041	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001993	1.000000	0.058246	0.000498
DEC_COGEN_OIL	0.001125	0.000069	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.003320	1.000000	0.058246	0.000949
DEC_ADVCOGEN_GAS	0.001785	0.000033	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001293	1.000000	0.058246	0.000693
DEC_ADVCOGEN_H2	9124.117633	170.040000	20.000000	0.000000	1.614171	Infinity	0.000000	0.098932	1.000000	0.534003	1.000000	0.058246	3540.603346
DEC_BOILER_GAS	0.001283	0.000038	17.000000	0.000000	0.000008	Infinity	0.000000	0.000000	1.000000	0.001487	1.000000	0.067080	0.000171
DEC_BOILER_WOOD	0.000409	0.000014	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001776	1.000000	0.067080	0.000019
DEC_BOILER_OIL	0.000801	0.000048	17.000000	0.000000	0.000006	Infinity	0.000000	0.000000	1.000000	0.001456	1.000000	0.067080	0.000119
DEC_SOLAR	0.011435	0.000127	20.000000	0.000000	0.000017	Infinity	0.000000	0.000000	1.000000	0.010832	1.000000	0.058246	0.003673
DEC_DIRECT_ELEC	0.001598	0.000007	15.000000	0.000000	0.000042	Infinity	0.000000	0.000000	1.000000	0.007242	1.000000	0.074944	0.000062
TRAMWAY_TROLLEY	4977.081528	99.541631	30.000000	0.000000	7.963330	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000130	0.000006	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000890	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000150	0.000006	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000799	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	0.000124	0.000006	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000866	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.001189	0.000047	15.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.008983	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	15171.552837	670.007951	15.000000	0.000000	21.440254	Infinity	0.000000	0.700000	1.000000	0.296800	0.296800	0.074944	0.000000
TRAIN_PUB	0.001934	0.000070	40.000000	0.000000	0.000001	Infinity	0.000000	0.000000	0.500000	0.012695	0.275070	0.033427	0.000000
CAR_GASOLINE	0.000089	0.000005	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000171	0.051370	0.108434	0.000000
CAR_DIESEL	0.000072	0.000004	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000223	0.051370	0.108434	0.000000
CAR_NG	0.000086	0.000005	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000241	0.051370	0.108434	0.000000
CAR_METHANOL	0.000064	0.000004	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000118	0.051370	0.108434	0.000000
CAR_HEV	0.000072	0.000006	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000226	0.051370	0.108434	0.000000
CAR_PHEV	0.033294	0.002453	10.000000	0.000000	0.000072	Infinity	0.000000	0.000000	1.000000	0.025521	0.051370	0.108434	0.000000
CAR_BEV	73381.894608	1769.645612	10.000000	0.000000	176.964561	Infinity	0.000000	1.000000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000099	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000373	0.051370	0.108434	0.000000
