Name	Crit_2_tech	Crit_2_res	Crit_2_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000271	0.000000	0.000032
CCGT_AMMONIA	0.000047	0.000000	0.000002
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	12454.318591	0.000000	0.000000
WIND_ONSHORE	3347.582880	0.000000	84.411524
WIND_OFFSHORE	1078.850430	0.000000	120.068252
HYDRO_RIVER	36.234859	0.000000	-7.428572
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	254.902236	0.000000	402.620497
IND_COGEN_WOOD	0.000051	0.000000	0.000006
IND_COGEN_WASTE	0.000032	0.000000	0.000006
IND_BOILER_GAS	24.376037	0.000000	0.000000
IND_BOILER_WOOD	0.000225	0.000000	0.000001
IND_BOILER_OIL	0.000017	0.000000	0.000000
IND_BOILER_COAL	0.000579	0.000000	0.000033
IND_BOILER_WASTE	207.295734	0.000000	135.444756
IND_DIRECT_ELEC	3.120088	0.000000	0.000000
DHN_HP_ELEC	127.896130	0.000000	7.329624
DHN_COGEN_GAS	273.390343	0.000000	417.202351
DHN_COGEN_WOOD	0.000017	0.000000	0.000003
DHN_COGEN_WASTE	0.000028	0.000000	0.000005
DHN_COGEN_WET_BIOMASS	0.000900	0.000000	0.000164
DHN_COGEN_BIO_HYDROLYSIS	0.000044	0.000000	0.000137
DHN_BOILER_GAS	0.000004	0.000000	0.000000
DHN_BOILER_WOOD	0.000069	0.000000	0.000000
DHN_BOILER_OIL	0.000003	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000381	0.000000	0.000000
DEC_HP_ELEC	651.699062	0.000000	27.500543
DEC_THHP_GAS	0.003363	0.000000	0.000000
DEC_COGEN_GAS	0.000100	0.000000	0.000030
DEC_COGEN_OIL	0.000085	0.000000	0.000006
DEC_ADVCOGEN_GAS	0.000135	0.000000	0.000098
DEC_ADVCOGEN_H2	0.000164	0.000000	0.000130
DEC_BOILER_GAS	0.000058	0.000000	0.000000
DEC_BOILER_WOOD	0.000803	0.000000	0.000001
DEC_BOILER_OIL	0.000050	0.000000	0.000000
DEC_SOLAR	0.004734	0.000000	0.000000
DEC_DIRECT_ELEC	0.000009	0.000000	0.000000
TRAMWAY_TROLLEY	78.587427	0.000000	0.000000
BUS_COACH_DIESEL	0.000045	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000054	0.000000	0.000000
BUS_COACH_CNG_STOICH	1589.630116	0.000000	1.350238
BUS_COACH_FC_HYBRIDH2	0.000124	0.000000	0.000000
BUS_COACH_ELECTRIC	0.006848	0.000000	0.000005
TRAIN_PUB	424.321968	0.000000	0.000000
CAR_GASOLINE	6191.681711	0.000000	1255.705367
CAR_DIESEL	0.000010	0.000000	0.000002
CAR_NG	0.000016	0.000000	0.000003
CAR_METHANOL	0.000013	0.000000	0.000002
CAR_HEV	0.000009	0.000000	0.000002
CAR_PHEV	0.006040	0.000000	0.000522
CAR_BEV	28993.421084	0.000000	3402.315591
CAR_FUEL_CELL	0.000006	0.000000	0.000000
TRAIN_FREIGHT	247.342362	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000019	0.000000	0.000000
BOAT_FREIGHT_NG	0.000004	0.000000	0.000000
BOAT_FREIGHT_METHANOL	210.053688	0.000000	4.680950
TRUCK_DIESEL	6467.159745	0.000000	0.408140
TRUCK_METHANOL	0.000015	0.000000	0.000000
TRUCK_FUEL_CELL	0.016851	0.000000	0.000001
TRUCK_ELEC	3183.151525	0.000000	0.155970
TRUCK_NG	0.000008	0.000000	0.000000
HABER_BOSCH	0.007101	0.000000	0.000085
SYN_METHANOLATION	0.000771	0.000000	0.000031
METHANE_TO_METHANOL	0.000008	0.000000	0.000007
BIOMASS_TO_METHANOL	0.000595	0.000000	0.000147
OIL_TO_HVC	0.004312	0.000000	0.000000
GAS_TO_HVC	966.168050	0.000000	0.000000
METHANOL_TO_HVC	4982.552129	0.000000	0.000000
ADLIBIO_TO_HVC	1977.872746	0.000000	1472.758351
PHS	6016.700111	0.000000	0.000000
BATT_LI	0.001249	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.006589	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000502	0.000000	0.000000
TS_DEC_HP_ELEC	488.974715	0.000000	0.000000
TS_DEC_THHP_GAS	0.000600	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000500	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000500	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000501	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000501	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000500	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000500	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000500	0.000000	0.000000
TS_DHN_DAILY	0.004169	0.000000	0.000000
TS_DHN_SEASONAL	3703.327587	0.000000	0.000000
TS_HIGH_TEMP	232.896549	0.000000	0.000000
GAS_STORAGE	888.248898	0.000000	0.000000
H2_STORAGE	0.095678	0.000000	0.000000
DIESEL_STORAGE	0.042834	0.000000	0.000000
GASOLINE_STORAGE	0.038338	0.000000	0.000000
LFO_STORAGE	0.036028	0.000000	0.000000
AMMONIA_STORAGE	0.019431	0.000000	0.000000
METHANOL_STORAGE	0.176645	0.000000	0.000000
CO2_STORAGE	0.000906	0.000000	0.000000
ADLIBIO_TO_FUEL	0.001149	0.000000	0.000132
AMMONIA_TO_H2	0.000170	0.000000	0.000000
ATM_CCS	0.000030	0.000000	0.000012
BIO_HYDROLYSIS	1850.229815	0.000000	12243.088047
BIOMETHANATION	0.014681	0.000000	0.004129
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000048	0.000000	0.000180
GRID	875.957947	0.000000	0.000000
H2_BIOMASS	406.915457	0.000000	32.506788
H2_ELECTROLYSIS	0.000461	0.000000	0.000013
INDUSTRY_CCS	0.000000	0.000000	0.000003
REDIFUEL	0.000132	0.000000	0.000025
SMR	0.000000	0.000000	0.000010
SYN_METHANATION	0.000096	0.000000	0.000000
AMMONIA	0.000000	0.000170	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	36293.159938	0.000000
BIODIESEL	0.000000	0.019007	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.028746	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.001950	0.000000
DIESEL	0.000000	8663.403958	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	42652.717778	0.000000
GAS	0.000000	7983.243450	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	0.000231	0.000000
GASOLINE	0.000000	7074.951450	0.000000
H2	0.000000	0.000002	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	26337.332153	0.000000
LFO	0.000000	0.006881	0.000000
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	12431.400362	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	0.000925	0.000000
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
WET_BIOMASS	0.000000	90117.439569	0.000000
WOOD	0.000000	95211.482403	0.000000
WOOD_PRODUCTION	0.000000	256704.563857	0.000000
