Name	Crit_2_tech	Crit_2_res	Crit_2_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000284	0.000000	0.000036
CCGT_AMMONIA	0.000058	0.000000	0.000002
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	12763.395762	0.000000	0.000000
WIND_ONSHORE	3347.582869	0.000000	84.406934
WIND_OFFSHORE	1078.850434	0.000000	120.057181
HYDRO_RIVER	36.234858	0.000000	-7.432920
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	282.579117	0.000000	438.163416
IND_COGEN_WOOD	0.000056	0.000000	0.000006
IND_COGEN_WASTE	0.000049	0.000000	0.000008
IND_BOILER_GAS	29.610625	0.000000	0.000000
IND_BOILER_WOOD	0.000295	0.000000	0.000001
IND_BOILER_OIL	0.000026	0.000000	0.000000
IND_BOILER_COAL	0.000736	0.000000	0.000027
IND_BOILER_WASTE	243.164608	0.000000	158.991920
IND_DIRECT_ELEC	3.658068	0.000000	0.000000
DHN_HP_ELEC	133.449943	0.000000	7.788886
DHN_COGEN_GAS	252.187403	0.000000	380.589939
DHN_COGEN_WOOD	0.000023	0.000000	0.000003
DHN_COGEN_WASTE	0.000045	0.000000	0.000007
DHN_COGEN_WET_BIOMASS	0.001119	0.000000	0.000212
DHN_COGEN_BIO_HYDROLYSIS	0.000072	0.000000	0.000242
DHN_BOILER_GAS	0.000005	0.000000	0.000000
DHN_BOILER_WOOD	0.000091	0.000000	0.000000
DHN_BOILER_OIL	0.000005	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000653	0.000000	0.000000
DEC_HP_ELEC	651.304412	0.000000	27.485545
DEC_THHP_GAS	0.003477	0.000000	0.000000
DEC_COGEN_GAS	0.000135	0.000000	0.000039
DEC_COGEN_OIL	0.000116	0.000000	0.000006
DEC_ADVCOGEN_GAS	0.000232	0.000000	0.000164
DEC_ADVCOGEN_H2	0.000209	0.000000	0.000141
DEC_BOILER_GAS	0.000090	0.000000	0.000000
DEC_BOILER_WOOD	0.001082	0.000000	0.000001
DEC_BOILER_OIL	0.000075	0.000000	0.000000
DEC_SOLAR	0.007314	0.000000	0.000000
DEC_DIRECT_ELEC	0.000015	0.000000	0.000000
TRAMWAY_TROLLEY	78.587427	0.000000	0.000000
BUS_COACH_DIESEL	0.000062	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000065	0.000000	0.000000
BUS_COACH_CNG_STOICH	1589.633781	0.000000	1.350241
BUS_COACH_FC_HYBRIDH2	0.000127	0.000000	0.000000
BUS_COACH_ELECTRIC	0.002287	0.000000	0.000002
TRAIN_PUB	424.321968	0.000000	0.000000
CAR_GASOLINE	6191.681839	0.000000	1255.705375
CAR_DIESEL	0.000013	0.000000	0.000003
CAR_NG	0.000019	0.000000	0.000004
CAR_METHANOL	0.000016	0.000000	0.000003
CAR_HEV	0.000015	0.000000	0.000003
CAR_PHEV	0.006730	0.000000	0.000580
CAR_BEV	28993.420465	0.000000	3402.315514
CAR_FUEL_CELL	0.000011	0.000000	0.000000
TRAIN_FREIGHT	247.342362	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000001	0.000000	0.000000
BOAT_FREIGHT_NG	0.000002	0.000000	0.000000
BOAT_FREIGHT_METHANOL	210.053709	0.000000	4.680950
TRUCK_DIESEL	6467.159783	0.000000	0.408140
TRUCK_METHANOL	0.000015	0.000000	0.000000
TRUCK_FUEL_CELL	0.007980	0.000000	0.000000
TRUCK_ELEC	3183.160023	0.000000	0.155971
TRUCK_NG	0.000009	0.000000	0.000000
HABER_BOSCH	0.014458	0.000000	0.000169
SYN_METHANOLATION	0.001071	0.000000	0.000048
METHANE_TO_METHANOL	0.000008	0.000000	0.000008
BIOMASS_TO_METHANOL	0.000789	0.000000	0.000188
OIL_TO_HVC	0.003164	0.000000	0.000000
GAS_TO_HVC	134.663232	0.000000	0.000000
METHANOL_TO_HVC	6264.725508	0.000000	0.000000
ADLIBIO_TO_HVC	547.127712	0.000000	433.148940
PHS	6016.708348	0.000000	0.000000
BATT_LI	0.001165	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.007341	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000793	0.000000	0.000000
TS_DEC_HP_ELEC	480.840053	0.000000	0.000000
TS_DEC_THHP_GAS	0.000869	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000790	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000784	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000789	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000786	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000790	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000788	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000789	0.000000	0.000000
TS_DHN_DAILY	0.004871	0.000000	0.000000
TS_DHN_SEASONAL	3898.434712	0.000000	0.000000
TS_HIGH_TEMP	301.683214	0.000000	0.000000
GAS_STORAGE	856.329725	0.000000	0.000000
H2_STORAGE	0.007997	0.000000	0.000000
DIESEL_STORAGE	0.018456	0.000000	0.000000
GASOLINE_STORAGE	18.960129	0.000000	0.000000
LFO_STORAGE	0.017287	0.000000	0.000000
AMMONIA_STORAGE	0.023275	0.000000	0.000000
METHANOL_STORAGE	0.210122	0.000000	0.000000
CO2_STORAGE	0.001364	0.000000	0.000000
ADLIBIO_TO_FUEL	2250.682350	0.000000	1078.005261
AMMONIA_TO_H2	0.000252	0.000000	0.000000
ATM_CCS	0.000052	0.000000	0.000023
BIO_HYDROLYSIS	1848.812656	0.000000	12243.086707
BIOMETHANATION	0.015504	0.000000	0.004348
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000072	0.000000	0.000231
GRID	880.106158	0.000000	0.000000
H2_BIOMASS	484.421298	0.000000	38.698408
H2_ELECTROLYSIS	0.000295	0.000000	0.000009
INDUSTRY_CCS	0.000000	0.000000	0.000004
REDIFUEL	0.000209	0.000000	0.000037
SMR	0.000000	0.000000	0.000010
SYN_METHANATION	0.000143	0.000000	0.000000
AMMONIA	0.000000	0.000186	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	36293.132425	0.000000
BIODIESEL	0.000000	0.026560	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.010139	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.001593	0.000000
DIESEL	0.000000	8663.403782	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	42652.717754	0.000000
GAS	0.000000	8002.966671	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	0.004047	0.000000
GASOLINE	0.000000	0.000508	0.000000
H2	0.000000	0.000014	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	12511.409709	0.000000
LFO	0.000000	0.005551	0.000000
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	15537.316613	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	0.001301	0.000000
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
WET_BIOMASS	0.000000	90117.439573	0.000000
WOOD	0.000000	95211.482320	0.000000
WOOD_PRODUCTION	0.000000	238713.128952	0.000000
