source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,10.20,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.20,Ammonia,#000ECD,TWh
Imp. Methanol,Methanol,51.89,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.54,Methanol,#CC0066,TWh
Gas,OCM,0.20,Gas,#FFD700,TWh
Elec,OCM,0.03,Electricity,#00BFFF,TWh
OCM,HVC,0.07,HVC,#00FFFF,TWh
Wood,Adlibio. to HVC,9.90,Wood,#CD853F,TWh
H2,Adlibio. to HVC,4.06,H2,#FF00FF,TWh
Elec,Adlibio. to HVC,0.17,Electricity,#00BFFF,TWh
Adlibio. to HVC,Heat HT,7.51,HEAT_HIGH_T,#DC143C,TWh
Adlibio. to HVC,HVC,3.26,HVC,#00FFFF,TWh
Methanol,MTO,47.22,Methanol,#CC0066,TWh
Heat HT,MTO,12.56,Heat HT,#DC143C,TWh
MTO,HVC,38.05,HVC,#00FFFF,TWh
HVC,Non-energy demand,41.38,HVC,#00FFFF,TWh
Imp. Diesel,Diesel,14.14,Diesel,#D3D3D3,TWh
Diesel,Freight,14.14,Diesel,#D3D3D3,TWh
Imp. Gas,Gas,91.02,Gas,#FFD700,TWh
Gas Prod,Gas sto.,0.92,GAS,#FFD700,TWh
Gas sto.,Gas,0.90,GAS,#FFD700,TWh
Gas Prod,Gas,15.54,GAS,#FFD700,TWh
Gas,Mob public,4.05,GAS,#FFD700,TWh
Gas,CHP,88.82,GAS,#FFD700,TWh
Gas,Boilers,14.39,GAS,#FFD700,TWh
Electricity,Elec,27.57,Electricity,#00BFFF,TWh
Wind,Elec,38.69,Wind,#27AE34,TWh
Hydro River,Elec,0.46,Hydro River,#0000FF,TWh
Solar,Elec,55.21,Solar,#FFFF00,TWh
Waste,Boilers,16.54,Waste,#808000,TWh
Wood,H2 prod,19.87,Wood,#CD853F,TWh
Wood prod.,Wood,25.06,Wood,#CD853F,TWh
Wood be.,Wood,23.40,Wood,#CD853F,TWh
Wood,Adlibio to fuel,18.69,Wood,#CD853F,TWh
H2,Adlibio to fuel,7.66,H2,#FF00FF,TWh
Adlibio to fuel,Gasoline,11.18,GASOLINE,#8080800,TWh
Adlibio to fuel,Heat HT,14.29,HEAT_HIGH_T,#DC143C,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,16.45,GAS,#FFD700,TWh
Biomethanation,Elec,1.56,Electricity,#00BFFF,TWh
Elec,Mob priv,8.55,Electricity,#00BFFF,TWh
Gasoline,Mob priv,11.18,GASOLINE,#8080800,TWh
Elec,Mob public,3.87,Electricity,#00BFFF,TWh
Elec,Freight,4.07,Electricity,#00BFFF,TWh
Elec,Exp & Loss,7.71,Electricity,#00BFFF,TWh
Elec,Curt.,2.33,Electricity,#00BFFF,TWh
Elec,Elec demand,96.46,Electricity,#00BFFF,TWh
Solar,Curt.,1.20,Solar,#FFFF00,TWh
Wind,Curt.,4.27,Wind,#27AE34,TWh
Elec,Storage,1.11,Electricity,#00BFFF,TWh
Storage,Elec demand,0.82,Electricity,#00BFFF,TWh
Elec,HPs,32.92,Electricity,#00BFFF,TWh
Elec,HT sto,8.24,Electricity,#00BFFF,TWh
HT sto,Heat HT,8.16,Heat HT,#DC143C,TWh
Elec,Heat HT,-2.82,Electricity,#00BFFF,TWh
Imp. H2 RE,H2,3.12,H2,#FF00FF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,8.59,H2,#FF00FF,TWh
CHP,Elec,41.74,Electricity,#00BFFF,TWh
CHP,DHN,17.75,Heat LT,#FA8072,TWh
CHP,Heat HT,20.44,Heat HT,#DC143C,TWh
HPs,Dec. sto,18.80,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,58.18,Heat LT,#FA8072,TWh
HPs,DHN,29.06,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,17.27,Heat LT,#FA8072,TWh
Boilers,Heat HT,26.91,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,35.66,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.34,Heat LT,#FA8072,TWh
DHN,DHN Sto,8.81,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,8.66,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,61.93,Heat HT,#DC143C,TWh
