Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000008	0.000000	0.001791
CCGT_AMMONIA	3.653558	0.000000	10.990412
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1011.157964	0.000000	0.000000
WIND_ONSHORE	102.107232	0.000000	0.571490
WIND_OFFSHORE	96.182602	0.000000	0.814663
HYDRO_RIVER	2.193013	0.000000	0.002568
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	26.692392	0.000000	6033.303373
IND_COGEN_WOOD	0.000004	0.000000	0.001499
IND_COGEN_WASTE	0.000004	0.000000	0.000209
IND_BOILER_GAS	0.903591	0.000000	669.544591
IND_BOILER_WOOD	0.000010	0.000000	0.000542
IND_BOILER_OIL	0.000003	0.000000	0.000254
IND_BOILER_COAL	0.000001	0.000000	0.000000
IND_BOILER_WASTE	7.508703	0.000000	2899.056143
IND_DIRECT_ELEC	0.345600	0.000000	0.000000
DHN_HP_ELEC	35.626396	0.000000	583.934072
DHN_COGEN_GAS	0.000046	0.000000	0.018111
DHN_COGEN_WOOD	0.000001	0.000000	0.000198
DHN_COGEN_WASTE	0.000004	0.000000	0.000172
DHN_COGEN_WET_BIOMASS	0.000032	0.000000	0.000791
DHN_COGEN_BIO_HYDROLYSIS	0.000001	0.000000	0.000213
DHN_BOILER_GAS	0.000001	0.000000	0.000128
DHN_BOILER_WOOD	0.000003	0.000000	0.000164
DHN_BOILER_OIL	0.000001	0.000000	0.000120
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000037	0.000000	0.000000
DEC_HP_ELEC	109.755019	0.000000	1200.133076
DEC_THHP_GAS	0.000071	0.000000	0.002308
DEC_COGEN_GAS	0.000015	0.000000	0.000537
DEC_COGEN_OIL	0.000013	0.000000	0.000351
DEC_ADVCOGEN_GAS	0.000011	0.000000	0.000627
DEC_ADVCOGEN_H2	85.593420	0.000000	43.434952
DEC_BOILER_GAS	0.000006	0.000000	0.000132
DEC_BOILER_WOOD	0.000017	0.000000	0.000264
DEC_BOILER_OIL	0.000005	0.000000	0.000178
DEC_SOLAR	0.000374	0.000000	0.000000
DEC_DIRECT_ELEC	0.000001	0.000000	0.000000
TRAMWAY_TROLLEY	5.209669	0.000000	0.000000
BUS_COACH_DIESEL	0.000001	0.000000	0.000015
BUS_COACH_HYDIESEL	0.000001	0.000000	0.000008
BUS_COACH_CNG_STOICH	0.000001	0.000000	0.000018
BUS_COACH_FC_HYBRIDH2	0.000007	0.000000	0.000004
BUS_COACH_ELECTRIC	272.265529	0.000000	168.012018
TRAIN_PUB	0.000002	0.000000	0.000000
CAR_GASOLINE	0.000003	0.000000	0.000012
CAR_DIESEL	0.000001	0.000000	0.000005
CAR_NG	0.000002	0.000000	0.000005
CAR_METHANOL	0.000001	0.000000	0.000005
CAR_HEV	0.000002	0.000000	0.000005
CAR_PHEV	0.000699	0.000000	0.000427
CAR_BEV	3497.091425	0.000000	568.989537
CAR_FUEL_CELL	0.000005	0.000000	0.000000
TRAIN_FREIGHT	27.392424	0.000000	52.795724
BOAT_FREIGHT_DIESEL	0.000024	0.000000	0.000997
BOAT_FREIGHT_NG	0.000000	0.000000	0.000009
BOAT_FREIGHT_METHANOL	18.323879	0.000000	862.729225
TRUCK_DIESEL	0.000000	0.000000	0.000002
TRUCK_METHANOL	0.000000	0.000000	0.000004
TRUCK_FUEL_CELL	550.534813	0.000000	14.249583
TRUCK_ELEC	0.000025	0.000000	0.000001
TRUCK_NG	0.000000	0.000000	0.000002
HABER_BOSCH	98.077202	0.000000	6.027605
SYN_METHANOLATION	0.000103	0.000000	0.000024
METHANE_TO_METHANOL	0.000047	0.000000	0.000127
BIOMASS_TO_METHANOL	0.000025	0.000000	0.000189
OIL_TO_HVC	0.000054	0.000000	0.000364
GAS_TO_HVC	0.000000	0.000000	0.000000
METHANOL_TO_HVC	55.620106	0.000000	1447.483846
ADLIBIO_TO_HVC	159.054602	0.000000	17418.009496
PHS	404.931430	0.000000	0.000000
BATT_LI	21.136104	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000610	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000022	0.000000	0.000000
TS_DEC_HP_ELEC	10.664386	0.000000	0.000000
TS_DEC_THHP_GAS	0.000022	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000021	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000021	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000021	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	12.261361	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000022	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000021	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000021	0.000000	0.000000
TS_DHN_DAILY	0.000108	0.000000	0.000000
TS_DHN_SEASONAL	159.833484	0.000000	0.000000
TS_HIGH_TEMP	4.937302	0.000000	0.000000
GAS_STORAGE	0.035715	0.000000	0.000000
H2_STORAGE	18.508081	0.000000	0.000000
DIESEL_STORAGE	0.001199	0.000000	0.000000
GASOLINE_STORAGE	0.001229	0.000000	0.000000
LFO_STORAGE	0.000998	0.000000	0.000000
AMMONIA_STORAGE	0.018983	0.000000	0.000000
METHANOL_STORAGE	0.008975	0.000000	0.000000
CO2_STORAGE	0.000334	0.000000	0.000000
ADLIBIO_TO_FUEL	0.000028	0.000000	0.000000
AMMONIA_TO_H2	0.000009	0.000000	0.000000
ATM_CCS	0.000030	0.000000	-0.005659
BIO_HYDROLYSIS	12.034797	0.000000	10106.267145
BIOMETHANATION	0.000071	0.000000	0.002331
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000	0.000177
GRID	19.099799	0.000000	0.000000
H2_BIOMASS	1.030915	0.000000	0.546678
H2_ELECTROLYSIS	0.000009	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000	0.000168
REDIFUEL	0.000003	0.000000	0.000094
SMR	0.000000	0.000000	0.000128
SYN_METHANATION	0.000014	0.000000	0.000001
AMMONIA	0.000000	0.000090	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	636.481034	0.000000
BIODIESEL	0.000000	-0.000285	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	-0.000035	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	0.000000
DIESEL	0.000000	0.000043	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	641.063321	0.000000
GAS	0.000000	1094.010135	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	-0.000570	0.000000
GASOLINE	0.000000	0.000015	0.000000
H2	0.000000	0.000001	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	5309.213449	0.000000
LFO	0.000000	0.000165	0.000000
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	761.579103	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	-0.002793	0.000000
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
WET_BIOMASS	0.000000	-16341.968227	0.000000
WOOD	0.000000	-7555.389566	0.000000
WOOD_PRODUCTION	0.000000	-19461.707092	0.000000
